disease,metric,country_iso3,date,value,unit,source,freq
influenza,ILI_percent,WLD,1/1/2022,8.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2022,8.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2022,5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2022,3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2022,2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2022,1.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2022,1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2022,1.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2022,1.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2022,3.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2022,6.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2022,9.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,1/1/2023,10,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2023,9.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2023,7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2023,4.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2023,2.6,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2023,1.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2023,1.3,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2023,1.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2023,2.1,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2023,3.7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2023,6.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2023,8.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,1/1/2024,9.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,2/1/2024,10.2,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,3/1/2024,7.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,4/1/2024,4.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,5/1/2024,2.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,6/1/2024,1.9,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,7/1/2024,1.5,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,8/1/2024,1.8,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,9/1/2024,2.4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,10/1/2024,4,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,11/1/2024,7,%,FluNet/CDC (seasonal estimate),M
influenza,ILI_percent,WLD,12/1/2024,9.9,%,FluNet/CDC (seasonal estimate),M
