disease,metric,country_iso3,date,value,unit,source,freq
covid,cases,IND,3/1/2024,20000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,4/1/2024,15000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,5/1/2024,12000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,6/1/2024,10000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,7/1/2024,9000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,8/1/2024,8000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,9/1/2024,7000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,10/1/2024,6000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,11/1/2024,5000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,IND,12/1/2024,4000,cases,OWID/disease.sh monthly (summarized),M
