disease,metric,country_iso3,date,value,unit,source,freq
covid,cases,WLD,11/1/2021,25000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2021,40000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,1/1/2022,90000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2022,60000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2022,35000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2022,20000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2022,15000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2022,10000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2022,15000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2022,18000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2022,12000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2022,8000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,11/1/2022,10000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2022,20000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,1/1/2023,25000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2023,10000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2023,6000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2023,5000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2023,4000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2023,3000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2023,4000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2023,5000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2023,3000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2023,2000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,11/1/2023,1500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2023,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,1/1/2024,1000000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,2/1/2024,900000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,3/1/2024,800000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,4/1/2024,700000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,5/1/2024,600000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,6/1/2024,500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,7/1/2024,500000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,8/1/2024,450000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,9/1/2024,400000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,10/1/2024,350000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,11/1/2024,300000,cases,OWID/disease.sh monthly (summarized),M
covid,cases,WLD,12/1/2024,250000,cases,OWID/disease.sh monthly (summarized),M
