disease,metric,country_iso3,date,value,unit,source,freq
measles,immunization,LKA,2/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,7/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2020,63,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2020,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2020,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2020,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,1/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,2/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,7/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2021,62,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2021,97,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2021,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2021,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,1/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,2/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,7/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2022,61,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2022,98,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2022,0.1,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2022,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,1/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,2/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,7/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2023,60,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2023,99,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2023,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2023,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,1/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,1/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,1/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,1/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,2/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,2/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,2/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,2/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,3/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,3/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,3/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,3/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,4/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,4/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,4/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,4/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,5/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,5/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,5/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,5/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,6/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,6/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,6/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,6/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,7/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
